"image","xmin","ymin","xmax","ymax","label"
"000000.jpg",538.7104337631888,76.06876373291016,960.0750109906214,540.4687728881836,"FingerFrame"
"000002.jpg",538.7104337631888,76.06876373291016,960.0750109906214,540.4687728881836,"FingerFrame"
"000004.jpg",538.7104337631888,76.06876373291016,960.0750109906214,540.4687728881836,"FingerFrame"
"000003.jpg",538.7104337631888,76.06876373291016,960.0750109906214,540.4687728881836,"FingerFrame"
"000001.jpg",538.7104337631888,76.06876373291016,960.0750109906214,540.4687728881836,"FingerFrame"
"000005.jpg",538.7104337631888,76.06876373291016,960.0750109906214,540.4687728881836,"FingerFrame"
"000007.jpg",538.7104337631888,76.06876373291016,960.0750109906214,540.4687728881836,"FingerFrame"
"000008.jpg",538.7104337631888,76.06876373291016,960.0750109906214,540.4687728881836,"FingerFrame"
"000009.jpg",538.7104337631888,76.06876373291016,960.0750109906214,540.4687728881836,"FingerFrame"
"000006.jpg",538.7104337631888,76.06876373291016,960.0750109906214,540.4687728881836,"FingerFrame"
"000012.jpg",524.3048432004689,96.4687271118164,957.6741097596716,538.068717956543,"FingerFrame"
"000014.jpg",524.3048432004689,96.4687271118164,957.6741097596716,538.068717956543,"FingerFrame"
"000010.jpg",538.7104337631888,76.06876373291016,960.0750109906214,540.4687728881836,"FingerFrame"
"000011.jpg",524.3048432004689,96.4687271118164,957.6741097596716,538.068717956543,"FingerFrame"
"000013.jpg",524.3048432004689,96.4687271118164,957.6741097596716,538.068717956543,"FingerFrame"
"000018.jpg",524.3048432004689,96.4687271118164,957.6741097596716,538.068717956543,"FingerFrame"
"000015.jpg",524.3048432004689,96.4687271118164,957.6741097596716,538.068717956543,"FingerFrame"
"000017.jpg",524.3048432004689,96.4687271118164,957.6741097596716,538.068717956543,"FingerFrame"
"000016.jpg",524.3048432004689,96.4687271118164,957.6741097596716,538.068717956543,"FingerFrame"
"000019.jpg",524.3048432004689,96.4687271118164,957.6741097596716,538.068717956543,"FingerFrame"
"000022.jpg",513.5006044841736,127.66875457763672,951.6717650937867,500.86873626708984,"FingerFrame"
"000023.jpg",513.5006044841736,127.66875457763672,951.6717650937867,500.86873626708984,"FingerFrame"
"000021.jpg",524.3048432004689,96.4687271118164,957.6741097596716,538.068717956543,"FingerFrame"
"000020.jpg",524.3048432004689,96.4687271118164,957.6741097596716,538.068717956543,"FingerFrame"
"000024.jpg",513.5006044841736,127.66875457763672,951.6717650937867,500.86873626708984,"FingerFrame"
"000027.jpg",513.5006044841736,127.66875457763672,951.6717650937867,500.86873626708984,"FingerFrame"
